model,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2
linear_regression,2.0710208767781403e-16,2.6271387870170995e-16,1.0,2.6873625830144663e-16,3.3585367818803965e-16,1.0
ridge,0.00039863871762225745,0.0005076836654694079,0.999999061063361,0.0005473115518770193,0.0007534336574445821,0.9999979393301747
gradient_boosting_regressor,0.001742586335406698,0.002343613191206397,0.9999799911663679,0.0018559350325073332,0.0027283662783586533,0.9999729776121068
random_forest_regressor,0.00048352624095504456,0.0024804377823959673,0.9999775866598816,0.0006938183889503301,0.0046412523262120055,0.9999218032438979
